
2025-12-17,1,Office Order for Stenographers,In Focus,"9  December,  2025",Download(1.87 MB)
2025-12-17,2,Invitation of applications for engagement of 02 Young Professionals purely on contractual basis in the Ministry of Civil Aviation,Recruitment Notification,,Download(2.05 MB)
2025-12-17,3,"Formulation of Performance Standards of Major Airports relating to  Quality, Continuity and Reliability of Service and Associated Activities",In Focus,"21  August,  2025",Download(3.08 MB)
2025-12-17,4,"Aircraft (Carriage of Dangerous Goods) Rules, 2025",In Focus,,Download(1.85 MB)
2025-12-17,5,Guidelines for setting up of Greenfield Airports,Ministry Documents,"23  December,  2016",Download(25.56 MB)
2025-12-17,6,"Record of Discussions during Video Conferencing held on 18.11.2019 with State Governments of Assam, HP, Manipur, AP and Uttarakhand regarding the preparedness of the State Governments for Non-Scheduled Flight Operations of Helicopters under RCS - UDAN.",Ministry Documents,"6  January,  2020",Download(5.06 MB)
2025-12-17,7,Detailed Demands for Grants of Ministry of Civil Aviation for 2021-2022,Ministry Documents,"9  March,  2021",Details
2025-12-17,8,Mandatory prior Environment Clearance (EC) for construction of new projects or activities as well as for the expansion or modernization of existing projects or activities regarding,Ministry Documents,"11  February,  2022",Download(837.69 KB)
2025-12-17,9,Detailed Demand for Grants 2025-26,Ministry Documents,"14  February,  2025",Download(1.89 MB)
2025-12-17,10,"Ministry of Civil Aviation (Height Restrictions for Safeguarding of Aircraft Operations) Amendment Rules, 2024",Ministry Documents,"18  March,  2025",Download(1.18 MB)
2025-12-17,11,Aircraft (Security) Amendment Rules 2024,Ministry Documents,"18  March,  2025",Download(556.58 KB)
2025-12-17,12,Annual Report 2024-25,Ministry Documents,"21  March,  2025",Download(2.82 MB)
2025-12-17,13,Annual Report  2023-24,Ministry Documents,"21  March,  2025",Download(1.34 MB)
2025-12-17,14,Kota Airport Rajasthan,Ministry Documents,"17  June,  2025",Download(854.85 KB)
2025-12-17,15,Parandur  Airport Tamil Nadu,Ministry Documents,"17  June,  2025",Download(1.46 MB)
2025-12-17,16,Puri Airport  Odisha,Ministry Documents,"17  June,  2025",Download(843.93 KB)
2025-12-17,17,"Aircraft (Carriage of Dangerous Goods) Rules, 2025",Ministry Documents,"19  June,  2025",Download(7.28 MB)
2025-12-17,18,"Telephone Operator (Restricted) Certificate and Licence Rules, 2025",Ministry Documents,"7  July,  2025",Download(2.95 MB)
2025-12-17,19,Draft Rules published under Section 10(3) of the Protection of Interests in Aircraft Objects Act 2025,Ministry Documents,"18  September,  2025",Download(2.63 MB)
2025-12-17,20,Heli Disha booklet,Ministry Documents,"8  October,  2021",Details
